,date,temperature,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,bpm
100,2022-02-18,-2.0628546520843254,78,21,16,41,70,57,0.0947158524426719,57.88732394366197
101,2022-02-18,-2.0628546520843254,78,21,16,41,70,57,0.0947158524426719,67.12
102,2022-05-11,-2.330948180948181,77,17,20,40,92,56,0.0856592877767083,69.83148335015136
103,2022-05-11,-2.330948180948181,77,17,20,40,92,56,0.0856592877767083,74.14298706548101
104,2021-12-29,-2.071236559139786,78,17,21,40,85,63,0.090297790585975,65.22423909057572
105,2021-12-29,-2.071236559139786,78,17,21,40,85,63,0.090297790585975,63.24038461538461
106,2022-05-05,-2.933693405473226,80,24,14,42,125,56,0.0706679574056147,68.5364184288487
107,2022-05-05,-2.933693405473226,80,24,14,42,125,56,0.0706679574056147,61.96820512820513
108,2021-12-15,-2.1141221318845034,73,18,13,42,50,59,0.0754310344827586,78.38648288128057
109,2021-12-15,-2.1141221318845034,73,18,13,42,50,59,0.0754310344827586,71.32938388625593
110,2021-12-14,-1.4060459695572605,69,20,13,36,53,57,0.0933767643865363,75.63017054555733
111,2021-12-14,-1.4060459695572605,69,20,13,36,53,57,0.0933767643865363,67.5939524838013
112,2022-02-25,-3.357936426737283,75,17,21,37,51,57,0.070548712206047,66.2325818626951
113,2021-12-28,-1.6269599713110463,80,19,16,45,116,62,0.0951156812339331,69.3206746078547
114,2021-12-28,-1.6269599713110463,80,19,16,45,116,62,0.0951156812339331,78.78865979381443
115,2022-02-19,-2.2036827956989278,86,21,19,46,92,57,0.0727788279773156,65.07809523809524
116,2022-02-19,-2.2036827956989278,86,21,19,46,92,57,0.0727788279773156,65.60224695938982
117,2022-05-10,-1.5350836302819606,77,21,15,41,100,56,0.0872037914691943,57.39043381535039
118,2022-05-10,-1.5350836302819606,77,21,15,41,100,56,0.0872037914691943,61.531305375073835
119,2022-05-28,-1.7525553439018289,69,17,15,37,55,55,0.0699052132701421,56.84152334152334
120,2022-05-28,-1.7525553439018289,69,17,15,37,55,55,0.0699052132701421,66.3702649656526
121,2022-05-14,-2.239869042874227,73,15,23,35,92,55,0.0674418604651162,63.06330472103004
122,2022-05-14,-2.239869042874227,73,15,23,35,92,55,0.0674418604651162,65.75900646618085
123,2022-02-09,-2.387436341127144,80,22,18,40,89,61,0.075654704170708,62.07142857142857
124,2022-02-09,-2.387436341127144,80,22,18,40,89,61,0.075654704170708,69.26119608022712
125,2022-02-08,-2.1212751962082868,80,20,18,42,82,61,0.0625630676084762,62.67180616740088
126,2022-02-08,-2.1212751962082868,80,20,18,42,82,61,0.0625630676084762,69.21533231743055
127,2022-05-01,-1.810887613950518,74,18,17,39,61,58,0.0980207351555136,58.37820512820513
128,2022-05-01,-1.810887613950518,74,18,17,39,61,58,0.0980207351555136,65.28091966173362
129,2022-05-15,-1.6142941086691114,76,22,17,37,97,53,0.0993897122929381,62.65324364172503
130,2022-05-15,-1.6142941086691114,76,22,17,37,97,53,0.0993897122929381,49.672955974842765
131,2021-12-11,-2.9183476052231967,68,17,18,33,78,60,0.1107994389901823,59.5
132,2021-12-11,-2.9183476052231967,68,17,18,33,78,60,0.1107994389901823,70.44999121110916
133,2022-05-29,-1.4195662473326145,76,19,21,36,95,56,0.0750816104461371,60.539754915930466
134,2022-05-29,-1.4195662473326145,76,19,21,36,95,56,0.0750816104461371,63.470319634703195
135,2022-02-20,-3.5594866071428575,72,21,17,34,55,57,0.0643274853801169,76.14561080417434
136,2021-12-13,-2.6309578407187324,75,17,21,37,76,58,0.0813559322033898,67.10408407854706
